"the_geom","OBJECTID","NYSStreetID","LeftFromAddress","LeftToAddress","RightFromAddress","RightToAddress","CompleteStreetName","HighwayNumber","Jurisdiction","FCC","ACC","SPEED","LeftPostal","RightPostal","Shape.STLength(m)"
"MULTILINESTRING ((-78.877058131117 42.914129504688, -78.87866717302 42.914130470495))","8,418","477,785,749","198","240","199","239","Highland Avenue",,"12","A41","5","25","14222","14222","131.49483411904"
"MULTILINESTRING ((-78.857522489762 42.839204056639, -78.857503206571 42.839172221584, -78.857478832421 42.839145078198, -78.857429028557 42.839079149108))","11,694","800,002,662",,,,,"Fuhrmann Boulevard",,"12","A45","4","25","14203","14203","15.87905737431"
"MULTILINESTRING ((-78.802115121167 42.933756460943, -78.802111114879 42.93440945615))","1,758","477,779,626","402","430","401","409","Edison Avenue",,"12","A41","5","25","14215","14215","72.5998085404"
"MULTILINESTRING ((-78.900131125611 42.907939477439, -78.900138114541 42.908007487009, -78.900177142596 42.908049463147))","8,898","493,141,775",,,"901","905","Busti Avenue",,"12","A35","3","35","14213","14213","13.23624421273"
"MULTILINESTRING ((-78.902192139065 42.9514234403, -78.902325223715 42.951438524454, -78.902462229381 42.951486518003, -78.902821212588 42.951660455932, -78.903465127406 42.951990509197, -78.903810210212 42.952167439735, -78.903901194763 42.952183509818, -78.904571120852 42.952010444283, -78.904944197822 42.951903520098))","2,677","477,775,338","2","98","1","99","Saratoga Street",,"12","A40","5","25","14207","14207","255.3687839437"
"MULTILINESTRING ((-78.900177142596 42.908049463147, -78.90017017895 42.908379506211, -78.900176196605 42.90848644489, -78.90017818312 42.908820504331))","8,900","493,141,776",,,"923","949","Busti Avenue",,"12","A31","3","35","14213","14213","85.74319554679"
"MULTILINESTRING ((-78.819528081633 42.927900467192, -78.819519159996 42.928833462983))","1,493","477,781,759","452","502","465","503","Norfolk Avenue",,"12","A41","5","25","14215","14215","103.73274169789"
"MULTILINESTRING ((-78.902252159541 42.94144947301, -78.901490183772 42.941657449599, -78.901341114536 42.941693510574))","2,874","477,777,688","2","98","1","99","Harp Place",,"12","A41","5","25","14207","14207","79.22049520772"
"MULTILINESTRING ((-78.876683116292 42.8960854456, -78.878496172056 42.896427491319, -78.878710215726 42.896495499904))","7,855","477,790,488","134","298","139","299","Edward Street",,"12","A30","4","35","14201","14201","172.07263603867"
"MULTILINESTRING ((-78.891541164724 42.943924490309, -78.891535109333 42.943964492722))","2,949","477,777,128",,,,,"Military Road","265","01","A31","4","35","14207","14207","4.47508659126"
"MULTILINESTRING ((-78.800464130679 42.941286456674, -78.800396149051 42.941388478422, -78.800210893918 42.941770183788))","1,658","800,027,451","26","44","25","45","West Cleveland Drive",,"12","A31","4","35","14215","14215","57.68351665091"
"MULTILINESTRING ((-78.884367217938 42.889040467024, -78.884401216502 42.889053447591, -78.884477108899 42.88915243074))","7,736","800,004,090",,,,,"Village Court",,"12","A41","5","25","14201","14201","15.76579553632"
"MULTILINESTRING ((-78.878239395269 42.876667659687, -78.878193183617 42.876697562203))","10,004","600,061,527",,,,,"Hanover Street",,"12","A40","5","25","14202","14202","5.03316928036"
"MULTILINESTRING ((-78.847688114864 42.833479420403, -78.845410190684 42.834105470413, -78.845253114097 42.834174500322, -78.845140154459 42.834262484945, -78.845022124367 42.834424471179, -78.844976176812 42.834545496894, -78.844981123039 42.834670483438, -78.845760496384 42.836237709503))","11,752","507,666,964","150","298","151","299","Ship Canal Parkway",,"12","A41","5","25","14218","14218","461.25274919647"
"MULTILINESTRING ((-78.84767814652 42.935884459852, -78.848395213107 42.935740480187, -78.848693184224 42.93570244604, -78.849115188077 42.93568247359, -78.849287105459 42.935676504119, -78.84944114212 42.935682481248))","4,476","477,779,071","110","160","117","159","Jewett Parkway",,"12","A41","5","25","14214","14214","146.64021206114"
"MULTILINESTRING ((-78.909562352977 42.943732900939, -78.909557571465 42.943732786276, -78.909552882507 42.943731843054, -78.909548428573 42.943730099932, -78.909544344994 42.943727609875, -78.909540755848 42.943724448542, -78.909537770188 42.943720711987, -78.909535478734 42.943716513745, -78.909533951108 42.943711981377, -78.909533233729 42.943707252596, -78.909533348392 42.943702471085, -78.909534291614 42.943697782126, -78.909536034735 42.943693328192, -78.909538524792 42.943689244613, -78.909541686126 42.943685655467, -78.90954542268 42.943682669807, -78.909549620922 42.943680378353, -78.909554153291 42.943678850728, -78.909558882071 42.943678133348, -78.909563663583 42.943678248011, -78.909568352542 42.943679191233, -78.909572806476 42.943680934355, -78.909576890055 42.943683424412, -78.909580479201 42.943686585745, -78.90958346486 42.943690322299, -78.909585756315 42.943694520542, -78.90958728394 42.94369905291, -78.90958800132 42.943703781691, -78.909587886656 42.943708563202, -78.909586943434 42.943713252161, -78.909585200313 42.943717706095, -78.909582710256 42.943721789674, -78.909579548923 42.94372537882, -78.909575812368 42.943728364479, -78.909571614126 42.943730655934, -78.909567081758 42.943732183559, -78.909562352977 42.943732900939))","12,048",,,,,,,,,,,,,,"19.1511488189"
